Iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_means
1,13.465608465608465,-1.0,19.0,5.222222222222222
2,16.015151515151516,-1.0,19.0,5.111111111111111
3,15.78974358974359,-1.0,19.0,5.092307692307692
4,16.093333333333334,-1.0,19.0,4.48
5,17.187772925764193,-1.0,19.0,4.362445414847161
6,17.028688524590162,-1.0,19.0,4.098360655737705
7,17.03913043478261,-1.0,19.0,4.282608695652174
8,17.140151515151516,-1.0,19.0,3.7992424242424243
9,17.25390625,-1.0,19.0,3.953125
10,17.22426470588235,-1.0,19.0,3.6654411764705883
