Iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_means
1,13.451086956521738,-1.0,18.0,5.4021739130434785
2,16.381944444444443,-1.0,19.0,6.965277777777778
3,15.534246575342467,-1.0,19.0,6.8493150684931505
4,16.181818181818183,-1.0,19.0,7.583333333333333
5,16.514084507042252,-1.0,19.0,6.929577464788732
6,16.011834319526628,-1.0,19.0,5.940828402366864
7,16.58125,-1.0,19.0,6.18125
8,17.444444444444443,-1.0,19.0,7.548148148148148
9,17.454545454545453,-1.0,19.0,6.525974025974026
10,17.361290322580643,-1.0,19.0,6.432258064516129
