iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,battery_failure_rate,n_battery_failures,charge_fraction,image_fraction,loss_total,loss_policy,loss_value,entropy
1,5.482519595628343,-2.7641636174890767,10.993051209108298,77.6923076923077,26,0.038461538461538464,1,0.16943359375,0.83056640625,1.0899771047756075,-0.00807337200967595,2.231815969198942,1.7857510786503554
2,4.712845185481557,-7.56065451802272,8.804563530861207,78.1923076923077,26,0.11538461538461539,3,0.15576171875,0.84423828125,0.9355627024546266,-0.00741803786077071,1.9214209068566561,1.772970936447382
3,4.911261441403527,-8.082324375639608,10.706638576449631,75.81481481481481,27,0.07407407407407407,2,0.1669921875,0.8330078125,0.7844762342050672,-0.006520972831640393,1.6172273809090256,1.7616482805460691
4,6.608183458162223,1.78543856786805,13.46696526547506,83.375,24,0.0,0,0.14306640625,0.85693359375,0.6446165514178575,-0.005559314683341654,1.3350843381136657,1.7366304688155652
5,5.848004463282015,-7.765123659689022,14.222495914140113,78.48,25,0.04,1,0.1484375,0.8515625,0.6064024899154902,-0.011290679532976355,1.269566303305328,1.7089982759207487
6,6.097612895691797,-8.336412804100984,12.712699466194842,81.16,25,0.08,2,0.123046875,0.876953125,0.5874104263260961,-0.010119849781040103,1.228348945081234,1.6644197259098292
7,5.1506845935479895,-8.948391714680177,14.7536031770856,78.65384615384616,26,0.15384615384615385,4,0.1298828125,0.8701171875,0.7573321760166436,-0.009505229254136794,1.5667085597291588,1.6516875565052032
8,6.906980042302976,-7.868664141959236,15.02216602772258,83.33333333333333,24,0.08333333333333333,2,0.123046875,0.876953125,0.6191565008834005,-0.006701115303440019,1.2838798966258764,1.60823326818645
9,7.8106670761298655,-3.9327505237823592,15.43919465109485,86.08695652173913,23,0.043478260869565216,1,0.13916015625,0.86083984375,0.5086463365703822,-0.007534437431604602,1.0637179717421532,1.5678212828934193
10,6.562837646075695,-5.806918853814402,13.195595892814131,84.73913043478261,23,0.17391304347826086,4,0.1318359375,0.8681640625,0.7956420555710793,-0.007869454842875712,1.637340884655714,1.515893103927374
11,8.40035945269508,-1.9254761513100576,18.214566353187028,87.04347826086956,23,0.043478260869565216,1,0.17041015625,0.82958984375,0.6897287998348475,-0.009804292385524604,1.4285374024882913,1.4735609706491233
12,8.66633062874712,-7.796609389470195,14.067665688594378,90.31818181818181,22,0.09090909090909091,2,0.1259765625,0.8740234375,0.5796000321395696,-0.006629901574342512,1.2014092156663536,1.4474673599004746
13,8.279591561153254,-8.086428338946696,18.643678552925856,85.26086956521739,23,0.08695652173913043,2,0.13525390625,0.86474609375,0.6135078356135637,-0.008932814322179183,1.2733498971909285,1.4234299559146166
14,9.5824167576932,-1.7654895848532863,17.688120478832374,92.95454545454545,22,0.045454545454545456,1,0.15625,0.84375,0.5641410177573561,-0.012742871257069055,1.181790533848107,1.4011377736926078
15,8.683437318394178,-7.993172689611708,19.72608938976712,87.1304347826087,23,0.08695652173913043,2,0.17626953125,0.82373046875,0.6228460077662021,-0.010669534097542056,1.2948027111589908,1.3885812390595675
16,9.342114389503525,1.5175975303586138,16.87330731570344,92.9090909090909,22,0.0,0,0.18359375,0.81640625,0.36416119334753605,-0.009499961312394589,0.7742070218548178,1.3442358046770095
17,10.792175570656587,3.6155840457812545,19.08612128119546,93.66666666666667,21,0.0,0,0.16455078125,0.83544921875,0.4352138357702643,-0.008419722161488608,0.9139356452971696,1.3334265246987342
18,10.88008881165403,3.406018114281012,20.003315760372832,95.95238095238095,21,0.0,0,0.15625,0.84375,0.45398677899502216,-0.009583471779478714,0.9527944209054112,1.28269610889256
19,10.347731287586718,-6.933991258221544,18.631657517666273,91.22727272727273,22,0.045454545454545456,1,0.1484375,0.8515625,0.6125421067234129,-0.011031276819994672,1.2723388135433198,1.2596024487167596
20,10.243512616836389,-5.947987390702245,22.015756277896227,91.5909090909091,22,0.09090909090909091,2,0.14404296875,0.85595703125,0.7862557045184075,-0.006229455520224292,1.6098019130527974,1.2415795762091875
21,11.374926649312606,3.438942813523634,19.36914123881886,96.38095238095238,21,0.0,0,0.17041015625,0.82958984375,0.4859652075567283,-0.008797686256002635,1.0136146326549351,1.204442273452878
22,10.407528967871091,-7.126861976190325,19.395591504365303,91.47619047619048,21,0.047619047619047616,1,0.1552734375,0.8447265625,0.6781560563016683,-0.007055452807981056,1.3945752577856183,1.2076117265969515
