iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_mean,num_enenvv_steps_sampled,num_episodes,healthy_workers,worker_restarts,iter_time_s,sample_time_s,learn_time_s
1,4.035003175889409,-8.72665943983423,8.582261170010819,73.25,1000,12,,,,,
2,1.0207507760056607,-9.208326721208262,10.795241488850575,62.25,2000,16,,,,,
3,2.7293436440597607,-8.893836279457437,8.222961503101988,67.93333333333334,3000,15,,,,,
4,1.2906768426071002,-8.760442894061061,12.733379085738575,64.07142857142857,4000,14,,,,,
5,5.700512418007018,-8.203826370260934,11.669701277517863,78.42857142857143,5000,14,,,,,
6,2.859491694630219,-9.21932622893424,7.474679719416763,71.25,6000,12,,,,,
7,3.4654390462957263,-9.499203524551465,11.136048910101735,69.58823529411765,7000,17,,,,,
8,4.724214989418972,-7.325796560969772,9.862709130282775,73.46153846153847,8000,13,,,,,
9,4.1092085197942945,-9.196414783407844,10.511625596459183,77.38461538461539,9000,13,,,,,
10,3.847855201175769,-9.094318392887416,9.402037445306638,71.15384615384616,10000,13,,,,,
11,3.50105623541677,-9.352035017558226,10.275782625480902,72.07142857142857,11000,14,,,,,
12,4.890221884348799,-9.320641936000067,15.673284653132313,75.28571428571429,12000,14,,,,,
13,6.062957793404196,-4.050735373344532,13.639010627946787,82.83333333333333,13000,12,,,,,
14,5.23570001470391,-7.197223969762869,12.327490890432802,82.0,14000,12,,,,,
15,7.901887661352449,1.6006508493980052,15.17063785138168,88.7,15000,10,,,,,
16,6.4120368730022275,2.5447805601574744,10.055425615713267,81.07692307692308,16000,13,,,,,
17,6.102165486048171,1.737077198969772,11.618871742040096,82.3076923076923,17000,13,,,,,
18,6.071209485903258,-9.08752390992315,15.397532179902083,79.3076923076923,18000,13,,,,,
19,5.1585602300595195,-9.004629289337897,13.80433092752426,79.0,19000,13,,,,,
20,8.866731613155448,4.06381776183948,14.64434064671616,91.3,20000,9,,,,,
21,8.164100707912539,1.5660699798714892,15.347414150100493,91.25,21000,12,,,,,
22,8.127299308199579,-2.5787155307379237,15.53682292190933,95.0,22000,10,,,,,
23,9.672171718195745,4.422538180892431,17.951112584259395,91.4,23000,10,,,,,
24,9.000543481766208,5.956466941255605,17.99728354600276,90.41666666666667,24000,12,,,,,
25,7.498872050249798,2.4947784365900607,13.11708476515123,83.75,25000,12,,,,,
26,7.73207936586056,-10.0,18.259809740756676,82.0,26000,13,,,,,
27,9.97851301177447,2.0007229356761096,13.96537053490208,92.3,27000,10,,,,,
28,8.190997501344999,1.7792798916976684,14.286514264055812,84.41666666666667,28000,12,,,,,
29,11.322948703976165,6.006760475813691,16.80195599622009,108.8,29000,9,,,,,
30,11.724396374688517,2.962053481652945,18.760338109993086,103.72727272727273,30000,11,,,,,
31,6.887820608433768,-8.69682360141934,17.68314356340019,87.0909090909091,31000,11,,,,,
32,9.463545884572378,5.499574380038206,13.828747253412573,93.6,32000,10,,,,,
33,7.620996204569973,-0.14021727234662507,18.20477921166689,85.91666666666667,33000,12,,,,,
34,7.813887415076149,2.2560230279496154,16.727579553265695,87.83333333333333,34000,12,,,,,
35,8.042859961647753,3.499541993404569,16.917060727421273,85.5,35000,10,,,,,
36,9.24076108325167,2.2778727029586476,23.92517194945066,92.81818181818181,36000,11,,,,,
37,9.196767014418446,4.700287828414012,15.226779670703536,89.83333333333333,37000,12,,,,,
38,9.018644151309774,3.675517750034632,17.123646442481213,89.18181818181819,38000,11,,,,,
39,10.258046973224081,3.507127046513467,15.967997114044726,88.66666666666667,39000,12,,,,,
40,10.634285928355322,5.011579847851842,16.358446637078103,90.7,40000,10,,,,,
