iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,loss_total,loss_policy,loss_value,entropy
1,1.95689502845675,0.0,7.798091293003514,39.568627450980394,51,13.644685325026511,0.03359865428792545,27.25767758488655,1.7752148512750865
2,2.265941945759989,0.0,6.6678386321620735,39.36538461538461,52,2.6603952936828135,-0.0033568025624845176,5.363074323534965,1.7785069074481725
3,1.9820279450819958,0.0,7.19701055755269,38.056603773584904,53,1.9369875943288206,-0.011226106934191193,3.9317092284560204,1.7640919666737318
4,2.2618407306599613,0.0,8.101125396840818,38.71153846153846,52,1.712257797922939,-0.010782178834779188,3.48131518997252,1.7617619302123786
5,2.1890240223977484,0.0,6.143430239921872,39.92156862745098,51,1.079724724497646,-0.006438070270814933,2.2072786185890436,1.7476512767374515
