iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,loss_total,loss_policy,loss_value,entropy
1,18.96969696969697,18.0,19.0,61.0,33,34891.549279785155,0.1009982805873733,69782.89688720703,0.02239736385393915
2,18.91304347826087,18.0,19.0,85.69565217391305,23,22169.35386047363,-1.3544020475819707e-06,44338.70775146484,0.0004434400473529141
3,18.954545454545453,18.0,19.0,89.13636363636364,22,17200.292584228515,2.2409949451684952e-10,34400.58511352539,1.2923227593111944e-07
4,18.956521739130434,18.0,19.0,88.78260869565217,23,14368.61628112793,-1.989610609598458e-06,28737.23259277344,0.00034009211103032
5,18.869565217391305,18.0,19.0,86.8695652173913,23,9274.433711242677,-0.0535416019600234,18548.974533081055,0.0024348467481620276
6,19.0,19.0,19.0,41.44897959183673,49,9608.133180236817,-8.190834196284414e-05,19216.266525268555,0.0038717303617504723
7,18.979591836734695,18.0,19.0,41.183673469387756,49,6108.46028289795,-0.07442221745441202,12217.069424438476,0.0016589667855018727
8,18.956521739130434,18.0,19.0,87.3913043478261,23,3518.305326080322,5.160836735740304e-07,7036.610647583007,0.0003724640976965868
9,18.75,18.0,19.0,81.83333333333333,24,1171.206506538391,-9.472249075770379e-07,2342.4130409240724,0.0010465798510608977
10,18.833333333333332,18.0,19.0,84.75,24,822.3592023849487,-1.2073229299858213e-06,1644.7184226989746,0.0007915752020529136
11,18.869565217391305,18.0,19.0,87.43478260869566,23,508.64368772506714,-2.4572655092924834e-07,1017.2873815536499,0.0004124766500067792
12,18.91304347826087,18.0,19.0,88.17391304347827,23,337.1030824184418,-6.514019332826137e-08,674.2061764717103,0.0004294743367122553
13,18.791666666666668,18.0,19.0,85.25,24,174.4053447008133,6.397371180355549e-07,348.81070828437805,0.0010774489824462127
14,18.91304347826087,18.0,19.0,88.0,23,98.44538899660111,2.4587323423475025e-06,196.890780210495,0.0004218949157620066
15,18.954545454545453,18.0,19.0,89.22727272727273,22,54.93978648781776,2.7186062652617695e-06,109.87957565784454,0.00043031071617078006
16,18.73913043478261,18.0,19.0,85.21739130434783,23,31.101326841115952,7.626105798408389e-07,62.2026680290699,0.0008096615578772769
17,19.0,19.0,19.0,90.0,22,21.141756063699724,-1.8979539163410663e-06,42.283517360687256,8.16214724374395e-05
18,18.956521739130434,18.0,19.0,89.04347826086956,23,18.861820140480994,-4.200913826934993e-06,37.723649555444716,5.577390486622728e-05
19,18.956521739130434,18.0,19.0,87.30434782608695,23,9.8801289498806,-4.174512287136167e-06,19.760266979038715,4.095742953516056e-05
20,18.869565217391305,18.0,19.0,87.34782608695652,23,20.07609407752752,-2.7780915843322875e-07,40.15219550728798,0.00036025555544665224
21,18.954545454545453,18.0,19.0,89.45454545454545,22,3.12438152981922,-2.3142638383433223e-07,6.248763883113861,1.9053476431168306e-05
22,18.82608695652174,18.0,19.0,86.91304347826087,23,6.590261869877577,4.851724952459336e-07,13.180523093044759,2.0160723672525513e-05
23,18.954545454545453,18.0,19.0,89.45454545454545,22,5.181027008965612,-2.832376048900187e-06,10.362060198932886,2.9964708417487357e-05
24,18.869565217391305,18.0,19.0,88.47826086956522,23,3.062757748365402,-1.1223746696487069e-07,6.125515970028937,1.4515351155528562e-05
25,18.869565217391305,18.0,19.0,85.52173913043478,23,2.4966424529440703,-3.346067387610674e-08,4.993285939004272,5.004356989415275e-05
26,18.91304347826087,18.0,19.0,87.04347826086956,23,7.60364866387099,-1.5456171240657567e-07,15.207304619345814,0.0003501180845386354
27,18.869565217391305,18.0,19.0,86.34782608695652,23,32.561985303647816,2.738524926826358e-08,65.12398481220006,0.0007173501120303626
28,18.791666666666668,18.0,19.0,84.95833333333333,24,5.904095187783241,-2.1282085072016343e-05,11.80824229568243,0.00047101501037987196
29,18.91304347826087,18.0,19.0,88.0,23,16.623291740566494,-4.077155608683825e-08,33.24659033715725,0.00033784647485465065
