iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,loss_total,loss_policy,loss_value,entropy
1,2.129659142729385,-10.0,12.771408121661915,65.80645161290323,31,1.3462786834686995,-0.0044347501505399125,2.7371619798243048,1.786755658686161
2,2.7292660584870343,-10.0,11.928987606593846,68.1,30,1.2806308073922992,-0.007551398969371803,2.611987780034542,1.7811686158180238
3,3.3480601400513654,-10.0,9.991766669303809,69.79310344827586,29,1.0140718116424978,-0.00703974251227919,2.0775373693555594,1.7657127048820258
4,4.020160376827538,-10.0,16.67170406620765,71.53571428571429,28,0.9893081680871546,-0.005373276495083701,2.024391985870898,1.751454545930028
5,7.034229814884164,-10.0,15.939458503307288,82.875,24,0.7797973077744246,-0.007762298134912271,1.6095719441771508,1.7226365827023984
6,6.078813761839143,-9.679314230120312,15.485623653177136,79.0,25,0.8185022530145943,-0.008651037738309242,1.6885282123461365,1.71108192242682
7,7.012447898952016,-8.30660662278873,15.323709530893534,83.75,24,0.6461959668435157,-0.012696774717187508,1.3512705875560642,1.6742554787546395
8,6.108025592854524,-10.0,14.162031146622903,79.4,25,0.8003226171247662,-0.012064322385413107,1.6576036607846618,1.6414889961481094
9,8.849982583132505,-7.01954608673912,18.711039973624914,89.0,22,0.7546228253282606,-0.008214326706365682,1.5581389570608735,1.6232326082885264
10,8.330451885701981,-8.436298404239146,14.88214713990137,92.9090909090909,22,0.4740780762396753,-0.012253348543890753,1.0035251729190349,1.5431161418557167
11,9.511923321562799,-6.862592004897377,16.468929349363446,99.5,20,0.5346660897601396,-0.008158021286362782,1.1159683659672737,1.5160072080790996
12,9.76311158087879,-8.980532471662315,20.913310607218605,96.80952380952381,21,0.6963623385876417,-0.005519483849639073,1.4327225040644407,1.4479428824037313
