Iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_means
1,-0.9102693488873417,-10.0,10.517520636760425,58.09090909090909
2,-1.733002366213753,-10.0,10.517520636760425,56.911764705882355
3,-0.04224477526649242,-10.0,12.267022596115698,61.9375
4,0.4309347836623856,-10.0,16.086687219551536,63.0
5,1.941045460458973,-10.0,16.086687219551536,67.41
6,2.283788104219928,-10.0,16.086687219551536,68.51
7,1.664853328132076,-10.0,16.086687219551536,66.56
8,1.268825959382483,-10.0,16.086687219551536,64.37
9,0.9965495216361141,-10.0,13.493285914291627,63.65
10,0.5385256158114005,-10.0,12.290819632617577,62.8
11,1.1585708822745528,-10.0,15.416115085340317,64.49
12,1.3414347943535763,-10.0,15.416115085340317,64.8
13,1.3414347943535763,-10.0,15.416115085340317,64.8
14,1.3414347943535763,-10.0,15.416115085340317,64.8
15,1.3414347943535763,-10.0,15.416115085340317,64.8
16,1.3414347943535763,-10.0,15.416115085340317,64.8
17,1.857693297591304,-10.0,15.416115085340317,65.7
18,2.0012293608285945,-10.0,15.416115085340317,65.9
19,2.5908825550048835,-10.0,15.416115085340317,67.49
20,3.352206723323117,-10.0,14.423919494901055,69.96
21,3.089196649261814,-10.0,14.423919494901055,70.02
22,3.089196649261814,-10.0,14.423919494901055,70.02
23,3.089196649261814,-10.0,14.423919494901055,70.02
24,2.8924344622764635,-10.0,14.423919494901055,70.6
25,2.6117062682972345,-10.0,14.423919494901055,70.05
