iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,battery_failure_rate,n_battery_failures,charge_fraction,image_fraction,loss_total,loss_policy,loss_value,entropy
1,5.482519595628343,-2.7641636174890767,10.993051209108298,77.6923076923077,26,0.038461538461538464,1,0.16943359375,0.83056640625,1.0899785010144114,-0.008073285958380439,2.231818588450551,1.785751099139452
2,4.712845185481557,-7.56065451802272,8.804563530861207,78.1923076923077,26,0.11538461538461539,3,0.15576171875,0.84423828125,0.9356795655563473,-0.007419315309380181,1.921653724461794,1.772798265889287
3,4.943685662830401,-8.082324375639608,10.706638576449631,75.81481481481481,27,0.07407407407407407,2,0.1708984375,0.8291015625,0.7915373879484833,-0.005286140201496892,1.6287885947152971,1.7570770937949418
4,6.274756179297177,1.78543856786805,12.740891121125198,83.375,24,0.0,0,0.14794921875,0.85205078125,0.6112343174405396,-0.009614925950882026,1.2761796779930592,1.7240596257150174
5,5.933763268954466,-7.684505586023771,14.398217924958727,78.61538461538461,26,0.07692307692307693,2,0.15869140625,0.84130859375,0.7115323351696133,-0.006733861810062081,1.4704191535711288,1.6943379461765289
6,5.851012116129008,-8.043940325709315,13.087504657385418,81.32,25,0.12,3,0.146484375,0.853515625,0.6401577834505587,-0.014853286331344862,1.3432260548695922,1.6601956345140934
7,7.0291676922408435,-8.91140856078427,18.826215955951547,82.04166666666667,24,0.041666666666666664,1,0.1572265625,0.8427734375,0.5073486502747983,-0.013243463241087739,1.0739078959450126,1.6361835815012455
8,8.141040377872443,1.4142176103815305,16.00037492570036,87.56521739130434,23,0.0,0,0.154296875,0.845703125,0.4062298912554979,-0.01461389141040854,0.8738619681447745,1.6087200824171304
9,7.806764928577841,-7.975191781527831,19.327867475292454,84.58333333333333,24,0.125,3,0.1474609375,0.8525390625,0.7345437367446721,-0.009901515376986936,1.5205066248774528,1.5808062598109245
10,8.797346545924064,-7.604098016182361,17.249778288601014,91.5,22,0.045454545454545456,1,0.1650390625,0.8349609375,0.5097914383746683,-0.009219459764426573,1.0686461998149752,1.53122019469738
11,9.707909961317682,2.7494245317213264,19.217712580957702,92.81818181818181,22,0.0,0,0.17138671875,0.82861328125,0.4916677731089294,-0.010365083508077078,1.034033170901239,1.4983728375285863
12,9.388993429907892,-7.917356962616726,17.189720607867848,93.76190476190476,21,0.047619047619047616,1,0.14111328125,0.85888671875,0.5661657214164734,-0.011078388443274889,1.1837191024795175,1.4615443386137486
13,8.974385252632159,-8.277789523059234,20.48034359109826,87.73913043478261,23,0.13043478260869565,3,0.11328125,0.88671875,0.8129422891419381,-0.010946891685307492,1.6770379396155477,1.4629788767546414
