iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,loss_total,loss_policy,loss_value,entropy
1,1.5621157557221568,-9.275631659891724,8.364556983779673,39.11538461538461,52,2.31143144518137,-0.00242047669889871,4.6634447678923605,1.7870465785264968
2,1.6533678476971558,-9.877621768833825,5.464087239776388,39.588235294117645,51,1.8234274867922067,-0.0051486520183971155,3.6928343772888184,1.7841043904423715
3,1.4712001881762393,-10.0,6.295005417096443,39.0,52,1.429063405096531,-0.007377043346059509,2.908514878153801,1.7816991090774537
4,1.2528025036486616,-10.0,6.868360078328858,38.15094339622642,53,1.3820149367675185,-0.009339589932642412,2.818181796744466,1.7736370623111726
5,1.9539890347955486,-9.357902547883151,9.370035811906467,39.549019607843135,51,1.2341703537851572,-0.004166638958849944,2.5120374869555233,1.7681750781834125
6,1.162997844421801,-10.0,6.962761823251408,38.69230769230769,52,1.137751928716898,-0.006638489654869772,2.324050461873412,1.7634808111935854
7,1.4871053032761705,-10.0,6.379355254356242,38.86538461538461,52,0.8716330982744693,-0.0015340333513449878,1.7813622632995247,1.7514001153409482
8,1.7322429113981785,-10.0,8.063947967928257,38.84615384615385,52,0.6295378800481558,-0.00866768136038445,1.311312378384173,1.7450629528611898
9,2.017448827939926,-9.22062353216176,6.612556833107004,39.88235294117647,51,0.555010199174285,-0.009510844270698727,1.1631314428523183,1.7044678628444672
10,2.4225402001957157,-10.0,9.879325597765705,40.48,50,0.4544408588670194,-0.006951709691202268,0.9565955291502177,1.690519542247057
11,2.328416184346358,0.0,8.07738754846541,41.244897959183675,49,0.33403276598546655,-0.00934831673221197,0.7199416638351976,1.6589749410748482
12,2.766124735897428,0.0,8.730356995830418,41.51020408163265,49,0.3357016531517729,-0.006401507533155382,0.7163822162896395,1.6087948016822338
13,3.0017090390635164,-10.0,8.129396327579887,41.44897959183673,49,0.26654882751754483,-0.009641099638247396,0.5842009793967009,1.591056417301297
14,3.0463046348882923,-9.357902547883151,9.969109510196501,41.673469387755105,49,0.36585953227477147,-0.013203690182126592,0.7892498845234514,1.556172128394246
15,2.9620727116436187,-10.0,8.76850907293494,41.57142857142857,49,0.298442574965884,-0.00821449965442298,0.6433492553420365,1.5017552435398103
16,3.2180105465323563,-10.0,10.557585787642381,41.755102040816325,49,0.3240734509687172,-0.011682278368971311,0.7009705222211778,1.4729531154036521
17,3.444993707273998,-10.0,10.640216048483179,41.833333333333336,48,0.33111978849919976,-0.007051877582853194,0.7057592246681452,1.4707944270223379
18,3.9188487311266744,-8.898679617914375,10.430507901682232,42.416666666666664,48,0.36701317280821966,-0.009124048563535325,0.7811702387407422,1.444789855927229
19,3.4080673604156124,-9.462241711416317,11.943228904987965,42.270833333333336,48,0.49847315803635867,-0.011381383694242686,1.0480956899933518,1.4193302299827337
20,3.782321228719894,-6.315004999321099,13.625892018205239,43.02127659574468,47,0.37804805441410283,-0.0150328219649964,0.8136171800084412,1.3727712500840425
21,4.739703425728679,0.6420974521168482,10.808119188333594,43.80434782608695,46,0.3161218283697963,-0.011175782475038431,0.6808502791449428,1.3127529084682465
22,4.264591855092997,-6.811489745689652,12.472873089296863,43.297872340425535,47,0.37851125536253677,-0.009444387555413413,0.8023867161944509,1.3237716436386109
23,4.557768451198067,0.6420974521168482,11.121210662378262,43.76086956521739,46,0.32341523440554737,-0.007271279324777424,0.6870980352163315,1.2862503372132779
24,4.4916195940239625,-8.373114445291394,14.024279463189549,43.891304347826086,46,0.42337129916995764,-0.008003943831135984,0.88866160614416,1.2955560687929393
25,5.448855950737322,1.495464517182719,13.791222836142842,45.08888888888889,45,0.38163361134938895,-0.011650941062544006,0.8113992748782038,1.2415084786713124
26,4.953400390865163,-6.811489745689652,12.142164906450335,44.369565217391305,46,0.5056011835113168,-0.006253212669980713,1.048340407758951,1.2315807677805424
27,5.278721386757487,1.8150823186666611,11.160200104789862,45.266666666666666,45,0.3932623657863587,-0.006600400060415268,0.8237788210622966,1.2026646200567483
28,5.527823421026975,-3.9641963571324403,14.366374739415559,45.46666666666667,45,0.5564878080040216,-0.010912422882393002,1.1578378442674875,1.1518692821264267
29,5.4327333780319735,-10.0,14.85044176745386,44.52173913043478,46,0.692192037915811,-0.008302881685085594,1.4234366783872248,1.1223420972004532
30,6.233822859387096,1.6765251165484547,16.984106216041937,46.651162790697676,43,0.5022167309420184,-0.0104344781517284,1.0471085542812943,1.090307010523975
31,6.172472807662941,0.0,16.132789681916826,46.06818181818182,44,0.5380471468437463,-0.006761727025150321,1.1113612016662955,1.0871726809069515
32,6.609150013136985,0.0,15.606417537841256,46.36363636363637,44,0.5474603230832145,-0.007477337296586483,1.1314368471503258,1.0780763493850827
33,6.173778740090671,0.0,14.255210780686108,46.02272727272727,44,0.4943279623694252,-0.010402161435922607,1.0314171927049756,1.0978474166244268
34,6.193656230748697,0.0,15.367811762115338,45.70454545454545,44,0.5127756149042397,-0.006960325481486507,1.061144993826747,1.0836556946858764
35,6.186956326428419,0.0,14.544049392117515,46.02272727272727,44,0.5447651147609577,-0.007240393408574164,1.1247425127774477,1.0365748347714543
36,6.528693449109488,0.0,15.806766596625458,46.53488372093023,43,0.5507919080089778,-0.004934789839899168,1.1314526965841651,0.9999651603400708
37,6.585000698211448,0.0,16.184936885538132,46.22727272727273,44,0.5664098673965782,-0.006138002948864596,1.1648977441713213,0.9901002632454038
38,6.741945326112739,0.0,14.281811316311844,46.674418604651166,43,0.58751050978899,-0.008801130164647475,1.2119611894711853,0.966895598731935
39,6.24329490213283,-8.624017335660593,15.561688697046845,45.06666666666667,45,0.7338865504600107,-0.006362487061414868,1.5001642387360334,0.9833083672448992
40,6.615642247350762,0.0,16.327427432368317,46.18181818181818,44,0.6033553090412169,-0.00893277779687196,1.2430610571056604,0.9242441970854998
41,6.543299724450986,0.0,16.52476001533442,45.75,44,0.6026183452922851,-0.007463657348125707,1.2384190825745462,0.9127537103369832
42,6.636411415231382,0.0,15.748287341081578,45.56818181818182,44,0.6265905744861812,-0.0057098999357549475,1.282632476836443,0.901576453819871
43,6.858798732034476,0.0,16.89494864339374,46.04545454545455,44,0.623063973011449,-0.00666641351999715,1.2769664568826555,0.8752840435132384
44,6.869325114666006,0.0,16.670053677214486,46.36363636363637,44,0.6033847000915558,-0.006687792630691547,1.2369658928364515,0.8410454088822007
45,6.81584341516132,0.0,16.23218857472455,46.22727272727273,44,0.6244634479749948,-0.006153609132161364,1.2774733178317548,0.811960170790553
46,6.843142955549376,0.0,18.856160065332496,46.116279069767444,43,0.660688806604594,-0.00567900845198892,1.3497008819133043,0.8482624184340238
47,7.25441400406823,0.0,17.58903813816667,46.69767441860465,43,0.6557578857056796,-0.005410007492173463,1.3399360381066798,0.8800125736743212
48,6.751707236477671,-5.476980535111084,18.79494488618327,46.22727272727273,44,0.7703681332990527,-0.005426590956631117,1.5687512909993528,0.8580921376124024
49,7.069065620091856,0.0,18.113832090643967,46.74418604651163,43,0.6398772885557265,-0.005763973112334497,1.308077509328723,0.8397492606192827
50,7.114234069341621,0.0,18.856160065332496,46.69767441860465,43,0.6762537713162601,-0.007323597950744443,1.3846242716535926,0.8734766216948628
