iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,battery_failure_rate,n_battery_failures,loss_total,loss_policy,loss_value,entropy
1,3.830814889416575,-8.331058946468577,7.232049340566306,50.0,40,0.025,1,1.0855027260258794,-0.006613021885277704,2.21996589936316,1.7867205400019883
2,3.6309375439129115,-9.078065006634379,7.516781824896822,49.1219512195122,41,0.024390243902439025,1,0.9463560849428176,-0.00618498837138759,1.94069661796093,1.780723288655281
3,4.1307022260233985,-9.472695531773892,8.109135537506072,49.073170731707314,41,0.024390243902439025,1,0.9535197066143155,-0.010137264056538697,1.9626633878797293,1.7674723841249942
4,4.074523454400476,-8.485123259686603,8.997078241070234,49.09756097560975,41,0.024390243902439025,1,0.8208675177767872,-0.010627784859389066,1.697877755947411,1.7443579237908124
5,4.162600799837919,-6.453147325498721,8.120035335546369,49.853658536585364,41,0.024390243902439025,1,0.7495273380540312,-0.004656387392606121,1.5428429439663887,1.7237746138125658
6,4.465201018972901,-9.554848912964582,9.966811774908257,49.34146341463415,41,0.04878048780487805,2,0.9827201871201396,-0.011715350029408,2.022909863293171,1.7019394468516111
7,5.034256721039253,-9.222121310759784,11.766021788977465,48.8780487804878,41,0.04878048780487805,2,1.03758523222059,-0.013099528971360996,2.1346476435661317,1.6639061074703931
8,5.053061272002466,-3.340828590434329,13.456843544607315,49.829268292682926,41,0.024390243902439025,1,0.8227460402995348,-0.010755591158522293,1.699770962819457,1.6383851449936628
9,5.636754146123183,0.8914936457474734,11.316960084042,50.0,40,0.0,0,0.8417707609012723,-0.00855896323628258,1.7327803052961825,1.6060430664569139
10,5.794038873742748,1.4475344434700848,10.016260514901555,50.0,40,0.0,0,0.7510063521564007,-0.012374657453619875,1.5586412904784084,1.5939636260271073
11,6.061708324104356,-9.897936682377514,12.39505234027485,49.0,41,0.024390243902439025,1,0.937491612508893,-0.014691396593116223,1.935688252747059,1.5661116268485784
12,5.770738643838612,-8.6156615055799,12.54578156413437,49.34146341463415,41,0.04878048780487805,2,1.0070775240659713,-0.01194740925275255,2.0686959255486728,1.532302850112319
13,6.7744002201439955,2.192454890443095,12.217626104712727,50.0,40,0.0,0,0.8646313255652786,-0.015915407292777673,1.7910303268581629,1.4968431986868382
14,6.202046829089188,2.165324472432891,11.197942757440027,50.0,40,0.0,0,0.6413708386942745,-0.013440365028509404,1.33909327108413,1.473543130233884
15,6.193688968001082,-4.60335602557677,10.984969149517616,49.75609756097561,41,0.024390243902439025,1,0.8067305752076208,-0.00985794956650352,1.6623387943953276,1.458087458088994
16,6.291421062523585,-5.877112804515855,11.276002835219105,49.51219512195122,41,0.024390243902439025,1,0.8283894672989845,-0.011289230387774296,1.707858387567103,1.4250497318804265
17,6.1922803280935215,-7.045679434916293,10.740203743821487,49.390243902439025,41,0.024390243902439025,1,0.8092254599556327,-0.009237710578599945,1.665426954627037,1.42503094188869
18,6.688412133440956,1.2887628117580028,11.122392068411063,50.0,40,0.0,0,0.5945329728536308,-0.011392596035148018,1.2402210092172026,1.4184935715049505
19,6.903273168494797,3.2908207315295153,11.467019568889338,50.0,40,0.0,0,0.6716074957512319,-0.011648382809653413,1.3945640666410326,1.402615462988615
20,7.433293045153566,2.0372992237903444,12.243948354867852,50.0,40,0.0,0,0.7690386625006795,-0.010529805513215251,1.5871450264006852,1.4004046753048898
21,6.753914360396419,-6.279316156203375,11.774172755499267,49.58536585365854,41,0.024390243902439025,1,0.8128891389816999,-0.01266202526167035,1.6784898281097411,1.3693752199411393
22,7.1713444826038195,2.3316685445777137,12.747754269072265,50.0,40,0.0,0,0.6699363432824612,-0.010491312778322026,1.3877370228990913,1.3440854780375957
23,7.3660445329172735,-5.685662312863688,12.227140308761658,49.48780487804878,41,0.024390243902439025,1,0.943672313541174,-0.011789442008011974,1.9377801455557346,1.3428314786404372
24,7.008387587395473,-8.386702872941928,12.85984907501151,49.19512195121951,41,0.024390243902439025,1,0.8811743427999318,-0.009192818590963724,1.807492285594344,1.3378979504108428
25,7.68283282527082,1.2361051437904576,13.618430001913294,50.0,40,0.0,0,0.7143779810518026,-0.011709649360273033,1.4784776009619236,1.3151171404868365
26,7.938123286283687,1.6338415573416605,13.618485503730113,50.0,40,0.0,0,0.7898310264572501,-0.01050009050522931,1.6266294274479152,1.2983595471829177
27,7.447475556219367,0.3099407781456911,13.449555077714331,49.78048780487805,41,0.024390243902439025,1,0.8350279975682497,-0.011482357332715765,1.7186480743810535,1.2813681844621896
28,8.097574625397971,1.836132964927374,13.86291911345622,50.0,40,0.0,0,0.7724293231964111,-0.009689562462153845,1.5894873850047588,1.2624808363616467
29,6.843851600242382,-7.511671639387209,13.301974503926342,49.21951219512195,41,0.024390243902439025,1,0.8356034250929951,-0.007186862040543929,1.711091087013483,1.2755254369229079
30,8.174856013393219,1.590490345130703,13.06178183717844,50.0,40,0.0,0,0.7255559919402004,-0.009697900888568256,1.4954612858593463,1.2476748991757631
31,8.244843356937881,2.4511918642298625,14.109120609427949,50.0,40,0.0,0,0.6905826337635517,-0.01196619594556978,1.4300970554351806,1.2499695900827645
