iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,loss_total,loss_policy,loss_value,entropy
1,1.9371587784443614,0.0,8.364556983779673,39.11538461538461,52,2.4802447974681856,-0.0034196455482742747,5.003072883188724,1.7871998090296983
2,1.9636868803671792,0.0,7.27561944129421,39.588235294117645,51,1.702744797617197,-0.0071345146519888655,3.4554005675017834,1.7820974446833133
3,2.0077556613492233,0.0,5.62064479363243,39.6078431372549,51,1.0718374829739332,-0.01118422557192389,2.2014887526631357,1.7722663931548595
4,2.323177045988763,0.0,5.794848569432917,39.96078431372549,51,0.8232335798442364,-0.011351217067567632,1.7041024062782526,1.7466406479477883
