iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,loss_total,loss_policy,loss_value,entropy
1,18.970588235294116,18.0,19.0,59.970588235294116,34,34691.2897277832,0.08310882787918672,69382.41339111328,0.020522531872334625
2,18.869565217391305,18.0,19.0,88.52173913043478,23,19781.377032470704,4.284956958144903e-08,39562.75405883789,0.0003389341850748325
3,18.91304347826087,18.0,19.0,87.30434782608695,23,12305.642620849609,-2.2439053282141684e-09,24611.28529663086,9.771943715179758e-07
4,18.82608695652174,18.0,19.0,86.82608695652173,23,9157.581202697755,-1.0488758562132716e-06,18315.1624206543,0.0003991897138568035
5,18.869565217391305,18.0,19.0,87.17391304347827,23,5539.299723052978,-2.3260150919668375e-05,11078.599481201172,0.000999290559421399
