iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,loss_total,loss_policy,loss_value,entropy
1,19.0,19.0,19.0,60.39393939393939,33,36527.146295166014,0.16960411349718924,73053.95356445313,0.017693477460953243
2,18.956521739130434,18.0,19.0,43.65217391304348,46,30409.20881347656,-0.003179862401157152,60818.42401123047,0.0032593952539368364
3,18.254901960784313,0.0,19.0,39.92156862745098,51,23561.49038696289,-0.07326608552975813,47123.1273071289,0.0018251028490502137
4,17.48,0.0,19.0,81.44,25,11755.329429626465,-3.582955105230212e-06,23510.65881652832,0.0015424849948261962
5,16.68,0.0,19.0,80.56,25,8765.98260345459,1.6238773241639138e-07,17531.965216064455,0.001066410778489998
6,18.91304347826087,18.0,19.0,88.30434782608695,23,7552.069177246094,1.2569944374263287e-07,15104.138345336914,3.0184968802063686e-05
7,18.954545454545453,18.0,19.0,89.13636363636364,22,4548.709917449951,9.678129572421313e-07,9097.419827270507,0.00020647119055522498
8,18.833333333333332,18.0,19.0,81.625,24,2428.1414501190184,-5.279853940010071e-06,4856.282908630371,0.0008133599406829119
9,18.954545454545453,18.0,19.0,89.13636363636364,22,786.7339273452759,5.448237061500549e-08,1573.467851448059,2.0687916952113354e-05
10,17.44,0.0,19.0,80.56,25,549.1204006195069,-4.5069900806993245e-07,1098.2408292770385,0.0013278701521191045
11,18.08695652173913,0.0,19.0,85.56521739130434,23,301.0412439346313,-3.4336262615397574e-07,602.0824964523315,0.0003743565820398419
12,18.083333333333332,0.0,19.0,85.33333333333333,24,135.26145067214966,-4.815432475879789e-07,270.5229113817215,0.0004237235114100381
13,18.91304347826087,18.0,19.0,85.3913043478261,23,85.96169974803925,1.0375864803791045e-06,171.92341413497925,0.000864726887380419
14,18.17391304347826,0.0,19.0,86.91304347826087,23,68.72268868684769,-0.0020224473148118703,137.4494341135025,0.0005691109714322229
15,18.90909090909091,18.0,19.0,89.5,22,61.23231142759323,-2.1187588572502136e-08,122.46462295055389,1.6047375985480967e-06
16,18.782608695652176,18.0,19.0,86.34782608695652,23,107.7924155831337,-4.3303181882947685e-06,215.58484816551208,0.0004269384945635793
17,18.82608695652174,18.0,19.0,86.43478260869566,23,147.72942674160004,-3.0919429264031352e-06,295.4588752746582,0.0007921114173196459
18,18.954545454545453,18.0,19.0,89.45454545454545,22,137.8714415818453,-1.509251887910068e-07,275.7428907394409,0.0003404889622473985
19,18.91304347826087,18.0,19.0,87.56521739130434,23,12.704772028326989,-9.796087397262454e-07,25.40954701602459,5.447009237573297e-05
20,18.954545454545453,18.0,19.0,89.0909090909091,22,151.11543378382922,-1.917946065077558e-07,302.23087475597856,0.0003413500901091916
21,18.82608695652174,18.0,19.0,86.47826086956522,23,221.36455361396074,-7.510810974054039e-07,442.7291229173541,0.0006924315222875839
22,18.791666666666668,18.0,19.0,83.29166666666667,24,157.49713892042638,-1.039547787513584e-05,314.9943155825138,0.0008248951656783757
