iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_mean,num_enenvv_steps_sampled,num_episodes,healthy_workers,worker_restarts,iter_time_s,sample_time_s,learn_time_s
1,,,,,1000,0,,,,,
2,16.641922551675407,1.4185789616519877,23.835652793254884,330.6,2000,5,,,,,
3,15.094319605440473,1.4185789616519877,27.408862821639882,317.1111111111111,3000,4,,,,,
4,14.50259215921702,1.4185789616519877,27.408862821639882,293.9,4000,3,,,,,
5,14.17633703986985,3.7129551714300044,27.408862821639882,254.1,5000,4,,,,,
6,15.622073685909763,3.7129551714300044,29.40198546633349,265.3,6000,4,,,,,
7,16.089306182910263,2.0982545246562836,29.40198546633349,283.6,7000,4,,,,,
8,16.894605905223443,2.0982545246562836,29.40198546633349,285.2,8000,2,,,,,
9,15.225189831209335,2.0982545246562836,25.076836856670813,294.2,9000,3,,,,,
10,18.377619905884096,10.561761457502708,27.643942556268858,342.5,10000,3,,,,,
11,19.287605608989406,10.561761457502708,27.643942556268858,340.0,11000,3,,,,,
12,18.69366581836949,10.561761457502708,27.643942556268858,337.1,12000,2,,,,,
13,21.462776523164656,1.947217407962769,34.7293462456624,330.9,13000,4,,,,,
14,26.613212138252237,1.947217407962769,56.15427499530725,359.8,14000,3,,,,,
15,32.6754064799659,1.947217407962769,58.5604479087651,360.1,15000,3,,,,,
16,34.03473793465086,1.947217407962769,58.5604479087651,360.8,16000,1,,,,,
17,41.39569473779328,9.716721388846048,59.76731212386191,402.4,17000,4,,,,,
18,40.458385767887805,9.716721388846048,59.76731212386191,398.8,18000,1,,,,,
19,32.90519087209343,3.7763894499093578,59.76731212386191,349.8,19000,5,,,,,
20,29.94488031381288,3.7763894499093578,59.76731212386191,325.4,20000,2,,,,,
21,32.411796832526896,3.7763894499093578,57.12883043717294,357.0,21000,2,,,,,
22,33.05481435970966,3.7763894499093578,57.12883043717294,360.0,22000,2,,,,,
23,38.622940180562054,19.190341521006474,57.12883043717294,411.4,23000,5,,,,,
24,36.502332135588645,11.03713927627448,56.20227835365581,389.1,24000,2,,,,,
25,31.826477125500567,11.03713927627448,62.180579536116596,329.9,25000,5,,,,,
26,30.96731442409648,11.03713927627448,62.180579536116596,306.6,26000,2,,,,,
27,34.638803458818096,4.372091998037498,62.5975411685374,330.3,27000,4,,,,,
28,33.4494193784859,4.372091998037498,62.5975411685374,348.2,28000,3,,,,,
29,34.37464326645758,4.372091998037498,62.5975411685374,366.8,29000,2,,,,,
30,26.912941734510117,1.8674568278763277,55.5819425444644,309.1,30000,4,,,,,
31,32.2507273937447,1.8674568278763277,55.5819425444644,325.2,31000,3,,,,,
32,33.57240422737567,1.8674568278763277,55.5819425444644,357.1,32000,2,,,,,
33,32.522525775208905,1.8674568278763277,55.5819425444644,359.2,33000,2,,,,,
34,38.0281517996609,18.228947586147733,55.5819425444644,376.4,34000,2,,,,,
35,37.39822286397981,18.228947586147733,53.57152446648596,375.1,35000,2,,,,,
36,38.221988833095125,18.228947586147733,53.57152446648596,391.7,36000,1,,,,,
37,37.26340086017458,15.053671726646193,53.57152446648596,405.0,37000,2,,,,,
38,40.026906686976005,15.053671726646193,61.33215498141715,385.7,38000,3,,,,,
39,39.504453771375324,15.053671726646193,72.94667521583897,388.5,39000,4,,,,,
40,40.36575102478166,15.053671726646193,72.94667521583897,391.5,40000,1,,,,,
